id;Kanji;Grade;"Reading within Joyo";"Reading beyond Joyo";"On within Joyo";"Translation of On";"Kun within Joyo";"Translation of Kun";Left1sound;Left2sound;Left3sound;Left4sound;Left5sound;Left6sound;Right1sound;Right2sound;Right3sound;Right4sound;Right5sound;Right6sound;Right7sound
1457;締;7;テイ、し-まる、し-める;;tei;"tie, tighten; wring, constrict, strangle; shut; total; control strictly; rebuke ";"shi(maru), shi(meru)";"tie, tighten; wring, constrict, strangle; shut; total; control strictly; rebuke. be shut, be locked, be fastened; be tight, be firm; become sober, reform; be thrifty ";tei;si;;;;;zi;;;;;;
1713;泌;7;ヒツ、ヒ;;"hitsu, 	hi";"flow; soak in; penetrate; secrete";-;-;hi;;;;;;pitu;;;;;;
1969;癒;7;ユ、い-える、い-やす;;yu;"heal, cure; quench (thirst); wreak (vengeance)";"i(eru), i(yasu)";"heal, cure; quench (thirst); wreak (vengeance). recover, be healed ";yu;;;;;;yu;;;;;;
690;鎖;7;サ、くさり;と;sa;"chain; irons; connection";kusari;"chain; irons; connection";sa;kusari;;;;;sa;;;;;;
1202;膳;7;ゼン;;zen;"small low table; tray";-;-;zen;;;;;;zen;;;;;;
1458;諦;7;テイ、あきら-める;タイ;tei;"abandon, give up, resign to, be reconciled to";akira(meru);"abandon, give up, resign to, be reconciled to";tei;;;;;;tei;tai;;;;;
1970;唯;7;ユイ、[イ];た;"yui, [i]";"only, merely, solely, simply ";-;-;yui;i;ta;;;;i;;;;;;
179;怪;7;カイ、あや-しい、あや-しむ;ケ;kai;"mystery; apparition";"aya(shii), aya(shimu)";"doubt; be suspicious of; wonder at; undependable, mysterious, strange";kai;ke;;;;;kai;;;;;;
435;琴;7;キン、こと;ゴン;kin;harp;koto;"long horizontal Japanese harp, a koto; lyre";kin;koto;;;;;kin;gon;;;;;
947;庶;7;ショ;;sho;"all; illegitimate child";-;-;syo;;;;;;;;;;;;
1203;繕;7;ゼン、つくろ-う;;zen;"repair, mend, darn; trim, tidy up, adjust";tsukuro(u);"repair, mend, darn; trim, tidy up, adjust";;;;;;;zen;;;;;;
1459;泥;7;デイ、どろ;なず;dei;"mud, mire";doro;"mud, mire, dirt, slush; disgrace";doro;dei;;;;;dei;;;;;;
1715;姫;7;ひめ;キ;-;-;hime;"princess; young lady of birth. little, pretty";hime;;;;;;ki;hime;;;;;
180;拐;7;カイ;かどわか;kai;"falsify, kidnap";-;-;;;;;;;kai;;;;;;
692;挫;7;ザ;くじ;za;"crush, break, sprain, dislocate; frustrate; unnerve; dampen(spirits)";-;-;za;;;;;;za;;;;;;
1204;狙;7;ソ、ねら-う;;so;"aim at, sight; watch for, shadow, stalk";nera(u);"aim at, sight; watch for, shadow, stalk";so;;;;;;;;;;;;
181;悔;7;カイ、く-いる、く-やむ、くや-しい;ゲ;kai;"repend, regret";"ku(iru), ku(yamu), kuya(shii)";"repend, regret;repent of; mourn for, condole with; vexing, regretable, mortifying";kai;;;;;;kai;ge;;;;;
437;僅;7;キン、わず-か;;kin;"a little, a small quantity";wazu(ka);"a little, a small quantity";kin;;;;;;;;;;;;
1205;阻;7;ソ、はば-む;;so;"separate from; prevent, stop";haba(mu);"obstruct, prevent, impede, deter, hinder, thwart, resist, frustrate";so;;;;;;so;;;;;;
950;緒;7;ショ、[チョ]、お;いとぐち;"sho, [cho]";"beginning, inception; end";o;"cord, strap, thong; clog cord; string";syo;tyo;;;;;syo;tyo;o;;;;
1462;摘;7;テキ、つ-む;;teki;"pick, pinch; hold in the fingers; summarize";tsu(mu);"pick, pluck, pull out; trim, clip, nip; gather";teki;;;;;;teki;;;;;;
1974;幽;7;ユウ;かす;yuu;"confine to a room";-;-;yuu;;;;;;;;;;;;
439;緊;7;キン;し;kin;"hard, solid; reliable; tight";-;-;kin;;;;;;kin;;;;;;
1207;租;7;ソ;;so;"crop tax, borrowing";-;-;so;;;;;;so;;;;;;
1463;滴;7;テキ、しずく、したた-る;;teki;drop;"shizuku, shitata(ru)";"drop. drip, trickle";teki;;;;;;teki;;;;;;
1975;悠;7;ユウ;はる;yuu;"distant, longtime; leisure";-;-;yuu;;;;;;yuu;;;;;;
184;皆;7;カイ、みな;みんな;kai;"all, everybody, everything";mina;"all, everybody, everything";mina;kai;;;;;;;;;;;
440;錦;7;キン、にしき;;kin;"brocade; fine dress; honors";nishiki;"brocade; fine dress; honors";nisiki;kin;;;;;nisiki;;;;;;
441;謹;7;キン、つつし-む;;kin;"be discreet, be careful, be prudent, be cautious; restrain oneself, be moderate";tsutsushi(mu);"be discreet, be careful, be prudent, be cautious; restrain oneself, be moderate";kin;;;;;;;;;;;;
697;采;7;サイ;;sai;"dice; form, appearance";-;-;sai;;;;;;sai;;;;;;
953;如;7;ジョ、ニョ;ごと、し;"jo, 	nyo";"like, such as, as if";-;-;nyo;zyo;;;;;zyo;nyo;;;;;
1209;措;7;ソ;お;so;"give up, suspend, discontinue, lay aside, set apart; except";-;-;so;;;;;;so;;;;;;
1977;湧;7;ユウ、わ-く;;yuu;"boil, get hot; ferment; seethe; be in an uproar; gush out; grow, breed, be hatched";wa(ku);"boil, get hot; ferment; seethe; be in an uproar; gush out; grow, breed, be hatched";yuu;;;;;;;;;;;;
442;襟;7;キン、えり;;kin;"neck, neckband, collar, lapel";eri;"neck, neckband, collar, lapel";eri;;;;;;kin;eri;;;;;
698;砕;7;サイ、くだ-く、くだ-ける;;sai;"break, smash, crush; pulverize; tax (one's ingenuity); explain simply ";"kuda(ku), kuda(keru)";"break, smash, crush; pulverize; tax (one's ingenuity); explain simply. crumble, be crushed, go to pieces; become familiar ";sai;;;;;;sai;;;;;;
1210;粗;7;ソ、あら-い;ほぼ;so;"roughness, coarseness, not fine; neglect; careless";ara(i);"rough, coarse, rugged; loose (fabric); large (meshes)";so;ara;;;;;so;;;;;;
1466;溺;7;デキ、おぼ-れる;;deki;"drown, indulge in";obo(reru);"drown, indulge in";deki;;;;;;deki;;;;;;
1722;漂;7;ヒョウ、ただよ-う;;hyoo;"float (on the water)";tadayo(u);"float (on the water)";hyoo;;;;;;;;;;;;
1978;猶;7;ユウ;なお;yuu;"further, furthermore, still, still more, yet; just like ";-;-;yuu;;;;;;;;;;;;
443;吟;7;ギン;;gin;"singing; recital; song; poem";-;-;gin;;;;;;gin;;;;;;
699;宰;7;サイ;;sai;"manager; rule";-;-;sai;;;;;;sai;;;;;;
1467;迭;7;テツ;;tetsu;alternation;-;-;;;;;;;tetu;;;;;;
